id,edad,nivel_edu,ingreso_mensual,sexo,anios_esc
1,56,Secundaria completa,5375,Mujer,12
2,52,Medio superior y superior,12900,Hombre,17
3,25,Medio superior y superior,12000,Hombre,15
4,50,Secundaria completa,3870,Mujer,9
5,41,Medio superior y superior,1000,Mujer,17
6,36,Secundaria completa,4085,Mujer,9
7,23,Medio superior y superior,3440,Mujer,16
8,59,Primaria incompleta,4300,Hombre,4
9,37,Secundaria completa,4000,Hombre,9
10,18,Prrimaria completa,4300,Hombre,8
11,44,Medio superior y superior,9000,Hombre,17
12,35,Medio superior y superior,24000,Mujer,12
13,15,Primaria incompleta,3870,Hombre,1
14,36,Secundaria completa,7740,Hombre,9
15,30,Medio superior y superior,4500,Hombre,12
16,35,Secundaria completa,8260,Hombre,9
17,46,Medio superior y superior,5160,Hombre,12
18,69,Prrimaria completa,1075,Mujer,6
19,35,Medio superior y superior,12000,Hombre,12
20,26,Prrimaria completa,3225,Hombre,7
21,42,Secundaria completa,4300,Hombre,9
22,21,Prrimaria completa,1290,Mujer,6
23,43,Medio superior y superior,17200,Mujer,12
24,33,Medio superior y superior,10750,Hombre,12
25,40,Prrimaria completa,5590,Mujer,6
26,34,Secundaria completa,17200,Hombre,11
27,42,Medio superior y superior,1720,Mujer,16
28,40,Secundaria completa,4085,Mujer,9
29,48,Medio superior y superior,15000,Hombre,17
30,52,Medio superior y superior,8000,Hombre,12
31,26,Medio superior y superior,8600,Hombre,17
32,29,Secundaria completa,12900,Hombre,9
33,45,Medio superior y superior,11600,Hombre,17
34,41,Prrimaria completa,6020,Mujer,6
35,47,Prrimaria completa,2580,Mujer,6
36,51,Prrimaria completa,1075,Mujer,6
37,51,Prrimaria completa,12900,Hombre,6
38,25,Prrimaria completa,6020,Hombre,6
39,21,Medio superior y superior,9460,Mujer,14
40,44,Medio superior y superior,8000,Hombre,12
41,24,Secundaria completa,3225,Mujer,9
42,21,Medio superior y superior,5160,Hombre,14
43,22,Secundaria completa,6880,Mujer,9
44,55,Prrimaria completa,5200,Hombre,6
45,31,Secundaria completa,4730,Mujer,10
46,26,Medio superior y superior,1075,Mujer,12
47,32,Secundaria completa,6450,Mujer,9
48,55,Secundaria completa,4730,Hombre,9
49,24,Medio superior y superior,4300,Hombre,12
50,17,Prrimaria completa,3010,Hombre,8
51,27,Medio superior y superior,4000,Hombre,16
52,42,Secundaria completa,5160,Hombre,9
53,56,Primaria incompleta,3870,Mujer,0
54,53,Secundaria completa,3200,Hombre,9
55,29,Medio superior y superior,8000,Mujer,16
56,62,Secundaria completa,5160,Hombre,9
57,18,Secundaria completa,3010,Mujer,9
58,37,Secundaria completa,6450,Hombre,9
59,38,Medio superior y superior,16000,Hombre,17
60,15,Prrimaria completa,2580,Hombre,6
61,21,Prrimaria completa,3225,Hombre,6
62,47,Primaria incompleta,3010,Mujer,2
63,27,Medio superior y superior,8600,Mujer,15
64,41,Prrimaria completa,13760,Hombre,6
65,45,Secundaria completa,4500,Mujer,12
66,34,Prrimaria completa,7740,Hombre,6
67,47,Secundaria completa,8600,Hombre,9
68,18,Prrimaria completa,5160,Mujer,8
69,41,Medio superior y superior,30100,Hombre,18
70,40,Medio superior y superior,4300,Mujer,16
71,51,Secundaria completa,3096,Hombre,9
72,21,Prrimaria completa,4515,Hombre,8
73,19,Prrimaria completa,4300,Hombre,6
74,56,Prrimaria completa,17200,Hombre,6
75,19,Medio superior y superior,3265,Mujer,12
76,28,Secundaria completa,8600,Mujer,11
77,51,Prrimaria completa,1290,Mujer,6
78,16,Secundaria completa,2150,Hombre,11
79,37,Prrimaria completa,15480,Hombre,6
80,42,Medio superior y superior,8600,Hombre,14
81,31,Secundaria completa,6450,Hombre,9
82,40,Secundaria completa,12000,Mujer,12
83,39,Secundaria completa,6450,Mujer,9
84,65,Medio superior y superior,7740,Hombre,12
85,28,Medio superior y superior,14000,Mujer,16
86,36,Secundaria completa,12000,Hombre,9
87,52,Prrimaria completa,15480,Hombre,6
88,21,Secundaria completa,6665,Hombre,10
89,19,Prrimaria completa,1720,Mujer,6
90,17,Secundaria completa,5160,Hombre,9
91,50,Secundaria completa,1075,Mujer,9
92,47,Secundaria completa,8600,Hombre,9
93,19,Prrimaria completa,5590,Hombre,8
94,20,Medio superior y superior,3870,Hombre,14
95,24,Medio superior y superior,4300,Hombre,12
96,34,Secundaria completa,10750,Hombre,10
97,53,Secundaria completa,4300,Mujer,9
98,61,Prrimaria completa,13760,Hombre,6
99,53,Secundaria completa,6000,Mujer,9
100,19,Medio superior y superior,2400,Mujer,13
101,59,Medio superior y superior,35000,Hombre,16
102,51,Medio superior y superior,8000,Mujer,17
103,48,Prrimaria completa,1720,Mujer,6
104,20,Secundaria completa,10320,Hombre,9
105,51,Primaria incompleta,5000,Hombre,5
106,33,Prrimaria completa,7740,Hombre,6
107,33,Medio superior y superior,7600,Hombre,17
108,23,Prrimaria completa,4300,Hombre,6
109,57,Medio superior y superior,10000,Hombre,17
110,56,Medio superior y superior,8000,Hombre,16
111,52,Secundaria completa,9030,Hombre,9
112,33,Secundaria completa,5375,Mujer,9
113,31,Secundaria completa,2580,Hombre,9
114,38,Secundaria completa,6450,Hombre,9
115,64,Medio superior y superior,1290,Mujer,12
116,53,Primaria incompleta,4600,Mujer,1
117,43,Secundaria completa,8000,Hombre,9
118,29,Secundaria completa,5160,Hombre,9
119,24,Medio superior y superior,10000,Hombre,17
120,50,Secundaria completa,10750,Hombre,9
121,24,Medio superior y superior,4000,Hombre,12
122,32,Secundaria completa,9000,Hombre,9
123,12,Primaria incompleta,1720,Hombre,4
124,42,Secundaria completa,7500,Hombre,9
125,55,Secundaria completa,4515,Mujer,12
126,38,Primaria incompleta,3870,Hombre,3
127,47,Medio superior y superior,10000,Mujer,16
128,37,Secundaria completa,7740,Hombre,9
129,53,Secundaria completa,3225,Hombre,9
130,22,Medio superior y superior,5160,Hombre,12
131,48,Medio superior y superior,8000,Mujer,17
132,29,Medio superior y superior,4000,Mujer,17
133,48,Medio superior y superior,10750,Hombre,12
134,51,Prrimaria completa,2150,Hombre,6
135,45,Prrimaria completa,3870,Hombre,6
136,23,Medio superior y superior,3440,Mujer,16
137,33,Secundaria completa,4300,Hombre,9
138,24,Secundaria completa,8600,Hombre,9
139,71,Primaria incompleta,3000,Hombre,0
140,38,Medio superior y superior,3600,Hombre,12
141,41,Prrimaria completa,3000,Mujer,6
142,53,Primaria incompleta,4730,Hombre,0
143,42,Secundaria completa,9030,Hombre,9
144,39,Medio superior y superior,4300,Mujer,15
145,59,Secundaria completa,15000,Hombre,9
146,68,Primaria incompleta,4128,Hombre,2
147,32,Secundaria completa,2580,Mujer,9
148,24,Medio superior y superior,1720,Hombre,12
149,25,Medio superior y superior,12000,Hombre,17
150,17,Prrimaria completa,5590,Hombre,6
151,41,Prrimaria completa,3870,Hombre,6
152,59,Secundaria completa,15000,Hombre,9
153,51,Medio superior y superior,9800,Hombre,12
154,35,Medio superior y superior,16000,Hombre,15
155,41,Medio superior y superior,12000,Mujer,12
156,45,Secundaria completa,6020,Hombre,9
157,67,Prrimaria completa,1505,Mujer,6
158,47,Prrimaria completa,6880,Hombre,6
159,70,Medio superior y superior,36000,Hombre,22
160,53,Medio superior y superior,6450,Hombre,12
161,53,Medio superior y superior,8400,Hombre,16
162,29,Secundaria completa,3121,Hombre,11
163,37,Prrimaria completa,7740,Hombre,6
164,64,Primaria incompleta,1400,Hombre,3
165,41,Prrimaria completa,3225,Hombre,6
166,40,Secundaria completa,5000,Hombre,9
167,55,Primaria incompleta,4000,Hombre,3
168,25,Primaria incompleta,6880,Hombre,5
169,54,Secundaria completa,6000,Hombre,9
170,24,Medio superior y superior,5160,Mujer,16
171,29,Medio superior y superior,18000,Hombre,18
172,49,Secundaria completa,15000,Hombre,9
173,41,Secundaria completa,6020,Hombre,9
174,25,Secundaria completa,4600,Hombre,9
175,20,Secundaria completa,12000,Hombre,9
176,61,Medio superior y superior,10000,Hombre,19
177,38,Secundaria completa,6450,Mujer,9
178,38,Prrimaria completa,4300,Mujer,6
179,44,Secundaria completa,2580,Mujer,9
180,32,Medio superior y superior,6000,Mujer,15
181,35,Medio superior y superior,4300,Hombre,12
182,48,Prrimaria completa,5160,Hombre,8
183,24,Medio superior y superior,14000,Hombre,16
184,20,Medio superior y superior,12000,Hombre,12
185,44,Medio superior y superior,12900,Hombre,12
186,29,Medio superior y superior,12000,Hombre,12
187,52,Prrimaria completa,9030,Hombre,6
188,38,Secundaria completa,1720,Mujer,9
189,42,Medio superior y superior,30000,Hombre,18
190,50,Medio superior y superior,21500,Hombre,16
191,29,Medio superior y superior,15050,Mujer,18
192,63,Medio superior y superior,30000,Mujer,17
193,63,Secundaria completa,3010,Mujer,9
194,40,Secundaria completa,9000,Hombre,9
195,63,Primaria incompleta,2580,Hombre,1
196,70,Primaria incompleta,4300,Hombre,0
